VER,EDATE,BIRD,ADATE,STIMEU,STIMEQ,DUR,STIMEL,ORBIT,NS,LAT,LATQ,EW,LON,LONQ,ALT,ATYPE,ADIAG,ACOMMENT,SVE,SPIN
5,6/16/1988,@PN0303,11/2/1984,1845,0,0,1053,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,11/7/1984,0109,0,0,1717,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,11/19/1984,2228,0,0,1436,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,11/24/1984,1845,0,0,1053,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,11/26/1984,0200,0,0,1808,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,12/4/1984,1113,0,0,0321,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,12/4/1984,2017,0,0,1225,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/16/1988,@PN0303,12/5/1984,0042,0,0,1650,G,N,0,0,W,118,0,35784,UNK,UNK,Encoder 1 Subcom 1 Errant Data,0,
5,6/16/1988,@PN0303,12/6/1984,2141,0,0,1349,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,12/11/1986,@PN0303,12/7/1984,1850,0,0,1058,G,N,0,0,W,118,0,35784,PC,ESD,SPIN ENCODER 2 MODE SWITCH,0,
5,6/17/1988,@PN0303,12/13/1984,0113,0,0,1721,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,12/17/1984,2222,0,0,1430,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,12/11/1986,@PN0303,12/19/1984,0803,0,0,0011,G,N,0,0,W,118,0,35784,PC,ESD,ENCODER 2 SUBCOM 4 SWITCH TO DWELL,0,
5,6/17/1988,@PN0303,12/19/1984,2050,0,0,1258,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,12/20/1984,2050,0,0,1258,G,N,0,0,W,118,0,35784,UNK,UNK,Encoder 1 Subcom 3 Partial Failure,0,
5,6/17/1988,@PN0303,1/10/1985,2257,0,0,1505,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,1/13/1985,0304,0,0,1912,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,1/21/1985,1418,0,0,0626,G,N,0,0,W,118,0,35784,PF,UNK,APM 1 Stalled,0,
5,6/17/1988,@PN0303,1/23/1985,1740,0,0,0948,G,N,0,0,W,118,0,35784,PC,ESD,ACE 1 Switch to Earth Mode & APE 1,0,
5,6/17/1988,@PN0303,1/23/1985,1740,0,0,0948,G,N,0,0,W,118,0,35784,PC,ESD,Switch AUTO step to CMD Step,0,
5,12/11/1986,@PN0303,1/26/1985,0151,0,0,1759,G,N,0,0,W,118,0,35784,PC,ESD,ENCODER 2 SUBCOM 4 SWITCH TO DWELL,0,
5,6/17/1988,@PN0303,1/29/1985,0020,0,0,1628,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,1/31/1985,1150,0,0,0358,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/1/1985,2117,0,0,1325,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/7/1985,2319,0,0,1527,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/9/1985,0906,0,0,0114,G,N,0,0,W,118,0,35784,PF,UNK,APM 1 Stalled,0,
5,6/17/1988,@PN0303,2/12/1985,1320,0,0,0528,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
