STIMEU,DUR,LAT,LON,ALT,ATYPE,SVE,AYEAR,AMONTH,ADAY
706.0,0,0,118,35784,PC,0.0,1986,3,22
628.0,0,0,118,35784,PC,0.0,1986,3,26
635.0,0,0,118,35784,PC,0.0,1986,3,29
529.0,0,0,118,35784,PC,0.0,1986,8,23
636.0,0,0,118,35784,PC,0.0,1986,8,24
2342.0,0,0,118,35784,PC,0.0,1986,9,19
1942.0,0,0,118,35784,PC,0.0,1986,9,23
452.0,0,0,118,35784,PC,0.0,1987,1,10
1349.0,0,0,118,35784,PC,0.0,1987,2,23
1827.0,0,0,118,35784,PC,0.0,1987,3,9
1957.0,0,0,118,35784,UNK,0.0,1987,8,14
428.0,0,0,118,35784,PC,0.0,1987,9,2
53.0,0,0,118,35784,PC,0.0,1987,9,12
241.0,0,0,118,35784,PC,0.0,1987,9,14
804.0,0,0,118,35784,PC,0.0,1987,9,19
714.0,0,0,118,35784,PC,0.0,1987,9,29
200.0,0,0,118,35784,PC,0.0,1987,9,30
2116.0,0,0,118,35784,PC,0.0,1987,10,2
1959.0,0,0,118,35784,PC,0.0,1987,10,20
353.0,0,0,118,35784,PC,0.0,1987,10,28
1049.0,0,0,118,35784,PC,0.0,1987,10,28
1011.0,0,0,118,35784,UNK,0.0,1987,11,5
57.0,0,0,118,35784,PC,0.0,1987,11,26
612.0,0,0,118,35784,PC,0.0,1987,11,28
2011.0,0,0,118,35784,PC,0.0,1988,1,3
2308.0,0,0,118,35784,PC,0.0,1988,1,5
555.0,0,0,118,35784,PC,0.0,1988,2,19
726.0,0,0,118,35784,PC,0.0,1988,2,26
2200.0,0,0,118,35784,PC,0.0,1988,3,15
137.0,0,0,118,35784,PC,0.0,1988,3,20
346.0,0,0,118,35784,PC,0.0,1988,5,24
700.0,0,0,118,35784,PF,0.0,1988,6,23
304.0,0,0,118,35784,PC,0.0,1988,7,3
1500.0,0,0,118,35784,PC,0.0,1988,8,11
0.0,0,0,118,35784,PF,0.0,1988,9,13
105.0,0,0,118,35784,PC,0.0,1988,9,25
621.0,0,0,118,35784,PC,0.0,1988,12,4
2052.0,0,0,118,35784,PC,0.0,1988,12,19
2132.0,0,0,118,35784,PC,0.0,1988,12,20
1113.0,0,0,118,35784,PC,0.0,1988,12,24
1333.0,0,0,118,35784,PC,0.0,1988,12,31
1402.0,0,0,118,35784,PC,0.0,1989,1,12
1109.0,0,0,118,35784,PC,0.0,1989,1,24
2001.0,0,0,118,35784,PC,0.0,1989,1,25
1006.0,0,0,118,35784,PC,0.0,1989,1,26
609.0,0,0,118,35784,PC,0.0,1989,2,10
2358.0,0,0,118,35784,PC,0.0,1989,2,15
2113.0,0,0,118,35784,PC,0.0,1989,2,21
1237.0,0,0,118,35784,PC,0.0,1989,3,4
2257.0,0,0,118,35784,PC,0.0,1989,3,8
1937.0,0,0,118,35784,PC,0.0,1989,3,11
535.0,0,0,118,35784,PC,0.0,1989,3,16
2134.0,0,0,118,35784,PC,0.0,1989,4,4
1106.0,0,0,118,35784,PC,0.0,1989,4,12
0.0,0,0,104,35784,PF,0.0,1982,9,24
0.0,0,0,104,35784,UNK,0.0,1983,3,27
1900.0,0,0,104,35784,PC,0.0,1983,8,19
816.0,0,0,104,35784,PC,0.0,1984,1,6
1125.0,0,0,104,35784,UNK,0.0,1984,3,14
0.0,0,0,104,35784,PF,0.0,1984,4,16
317.0,0,0,105,35784,PC,0.0,1985,4,20
1300.0,0,0,105,35784,PF,0.0,1985,8,30
637.0,0,0,104,35784,PC,0.0,1986,9,30
632.0,0,0,104,35784,UNK,0.0,1988,3,31
842.0,0,0,104,35784,UNK,0.0,1989,2,15
35.0,0,0,112,35784,PF,0.0,1984,11,27
1331.0,0,0,112,35784,PC,0.0,1985,3,8
2113.0,0,0,110,35784,PF,0.0,1986,10,7
1632.0,0,0,110,35784,PF,0.0,1986,10,24
2051.0,0,0,110,35784,PF,0.0,1986,10,27
2204.0,0,0,110,35784,PF,0.0,1986,10,27
944.0,0,0,110,35784,PC,0.0,1986,11,4
1546.0,0,0,110,35784,PF,0.0,1987,3,2
719.0,0,0,110,35784,PC,0.0,1987,3,14
46.0,0,0,110,35784,PC,0.0,1988,9,9
1015.0,0,0,110,35784,PC,0.0,1988,12,2
1734.0,0,0,111,35784,PF,0.0,1994,1,20
210.0,0,0,107,35784,PF,0.0,1994,1,21
746.0,0,0,274,35784,UNK,34.0,1987,11,9
1913.0,0,0,160,35784,TE,0.0,1985,11,11
1355.0,0,0,160,35784,PC,0.0,1986,1,31
1330.0,0,0,160,35784,PC,0.0,1986,9,23
1435.0,0,0,160,35784,PC,0.0,1986,9,27
1157.0,0,0,160,35784,PC,0.0,1986,9,28
648.0,0,0,160,35784,PC,0.0,1986,10,1
1218.0,0,0,160,35784,PC,0.0,1987,7,18
1455.0,0,0,160,35784,PC,0.0,1987,8,17
1849.0,0,0,156,35784,PC,0.0,1986,5,7
2327.0,0,0,156,35784,PC,0.0,1986,5,10
1905.0,0,0,156,35784,PC,0.0,1986,6,2
2230.0,0,0,156,35784,PC,0.0,1986,7,28
947.0,0,0,156,35784,PC,0.0,1986,8,1
143.0,0,0,156,35784,PC,0.0,1986,8,7
1537.0,0,0,156,35784,PC,0.0,1986,8,24
2316.0,0,0,156,35784,PC,0.0,1986,8,30
329.0,0,0,156,35784,PC,0.0,1986,8,31
1110.0,0,0,156,35784,PC,0.0,1987,1,25
919.0,0,0,156,35784,PC,0.0,1987,5,20
1648.0,0,0,156,35784,PC,0.0,1987,8,5
953.0,0,0,156,35784,PC,0.0,1987,8,16
1521.0,0,0,156,35784,PC,0.0,1987,8,16
2121.0,0,0,156,35784,PC,0.0,1987,8,29
2249.0,0,0,156,35784,PC,0.0,1987,9,9
149.0,0,0,156,35784,PC,0.0,1987,9,13
458.0,0,0,156,35784,PC,0.0,1987,9,19
738.0,0,0,156,35784,PC,0.0,1987,10,2
455.0,0,0,156,35784,SE,0.0,1990,10,18
1936.0,0,0,164,35784,PC,0.0,1987,10,1
2246.0,0,0,65,35784,PC,0.0,1987,5,9
1634.0,0,0,65,35784,SE,0.0,1987,10,21
1202.0,0,0,70,35784,PC,0.0,1988,1,22
1605.0,0,0,70,35784,PC,0.0,1990,6,28
1200.0,0,0,110,0,TE,0.0,1994,2,22
832.0,0,55,252,820,SE,42.0,1988,10,24
2118.0,0,55,218,1053,SE,65.0,1988,3,11
1839.0,0,58,255,820,SE,132.0,1989,8,16
444.0,0,-18,325,9844,SE,37.0,1991,3,26
2245.0,0,-4,180,33519,SE,0.0,1991,3,28
1028.0,0,-3,148,27449,SE,0.0,1991,3,30
417.0,0,-15,287,13500,TE,0.0,1991,5,17
600.0,0,-4,255,22300,SE,0.0,1991,5,30
1930.0,0,-8,216,4128,SE,0.0,1991,7,31
2102.0,0,-11,223,24236,SE,0.0,1991,10,3
1020.0,0,-13,330,17200,UNK,0.0,1991,10,12
2350.0,0,20,82,823,SE,0.0,1991,2,1
921.0,0,0,0,0,UNK,0.0,1983,1,11
1229.0,0,0,0,0,UNK,0.0,1984,10,18
1726.0,0,0,0,0,UNK,0.0,1984,11,12
22.0,0,0,0,0,UNK,0.0,1985,9,4
1757.0,0,0,0,0,UNK,0.0,1986,9,24
2011.0,0,29,338,0,SE,0.0,1986,12,10
1228.0,0,29,338,840,SE,79.0,1986,12,16
1825.0,328,0,0,2504,UNK,0.0,1987,8,10
7.0,0,0,0,0,UNK,0.0,1985,11,19
458.0,0,0,0,0,UNK,0.0,1985,12,8
1722.0,0,69,216,840,UNK,0.0,1989,1,21
1656.0,0,28,25,855,SE,0.0,1991,8,6
404.0,14,52,84,4094,UNK,0.0,1987,2,11
344.0,15,50,85,4186,UNK,0.0,1987,2,12
324.0,15,49,76,1872,UNK,0.0,1987,2,13
303.0,16,48,71,1116,UNK,0.0,1987,2,14
243.0,16,46,66,192,UNK,0.0,1987,2,15
404.0,13,51,85,4031,UNK,0.0,1987,2,16
343.0,15,50,80,3160,UNK,0.0,1987,2,17
348.0,0,0,105,35784,SE,0.0,1973,12,24
1025.0,0,0,105,35784,SE,0.0,1973,12,25
108.0,0,0,105,35784,PC,0.0,1973,12,29
1114.0,0,0,105,35784,SE,0.0,1974,1,2
