VER,EDATE,BIRD,ADATE,STIMEU,STIMEQ,DUR,STIMEL,ORBIT,NS,LAT,LATQ,EW,LON,LONQ,ALT,ATYPE,ADIAG,ACOMMENT,SVE,SPIN
5,9/8/1993,TDRS-1,6/17/1983,1429,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:14 ROW: 0 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,6/18/1983,0157,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 9 ROW:12 CHIP:31 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,6/19/1983,0100,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL:10 ROW: 0 CHIP:33 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,6/21/1983,0056,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 8 ROW:11 CHIP:31 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,6/21/1983,0056,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:15 ROW: 1 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,6/22/1983,0000,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 8 ROW: 0 CHIP:35 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,6/22/1983,0756,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:14 ROW: 0 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,6/23/1983,2322,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:0 COL:15 ROW: 3 CHIP:34 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,6/24/1983,0813,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 1 ROW: 1 CHIP:31 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,6/24/1983,0813,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 7 ROW: 0 CHIP:31 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,6/24/1983,2307,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL:13 ROW: 7 CHIP:31 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,6/25/1983,0638,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 3 ROW: 7 CHIP:31 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,6/25/1983,0745,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 2 ROW: 3 CHIP:32 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,6/26/1983,0419,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:0 COL:15 ROW: 6 CHIP:34 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,6/27/1983,2307,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 6 ROW: 4 CHIP:?? BIT:?? SET:??,,
5,9/8/1993,TDRS-1,6/27/1983,2307,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL:10 ROW: 4 CHIP:?? BIT:?? SET:??,,
5,9/8/1993,TDRS-1,7/3/1983,2239,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL: 9 ROW: 9 CHIP:?? BIT:?? SET:??,,
5,9/8/1993,TDRS-1,7/3/1983,2239,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:13 ROW: 9 CHIP:?? BIT:?? SET:??,,
5,9/8/1993,TDRS-1,7/3/1983,2239,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL:13 ROW: 2 CHIP:?? BIT:?? SET:??,,
5,9/8/1993,TDRS-1,7/3/1983,2239,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 3 ROW: 2 CHIP:?? BIT:?? SET:??,,
5,9/8/1993,TDRS-1,7/5/1983,1000,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL:15 ROW: 0 CHIP:33 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,7/6/1983,1033,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:12 ROW:12 CHIP:40 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,7/9/1983,0114,,,2046,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:1 COL:10 ROW: 8 CHIP:37 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,7/9/1983,0114,,,2046,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:1 COL:11 ROW: 0 CHIP:37 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,7/9/1983,0430,,,0002,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 6 ROW: 7 CHIP:32 BIT: 1 SET: 0,,
5,9/8/1993,TDRS-1,7/12/1983,1445,,,1017,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 8 ROW:14 CHIP:32 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,7/13/1983,1036,,,0608,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:3 COL: 4 ROW: 5 CHIP:31 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,7/17/1983,0914,,,0446,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 2 ROW: 3 CHIP:32 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,7/21/1983,1658,,,1230,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 3 ROW: 3 CHIP:32 BIT: 1 SET: 0,,
5,9/8/1993,TDRS-1,7/23/1983,1632,,,1204,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 2 ROW:13 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,7/29/1983,0118,,,2050,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 0 ROW: 7 CHIP:40 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,7/31/1983,0020,,,1952,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 0 ROW:15 CHIP:40 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,7/31/1983,0830,,,0402,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 3 ROW: 7 CHIP:32 BIT: 2 SET: 0,,
5,9/8/1993,TDRS-1,8/2/1983,1636,,,1208,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 2 ROW: 7 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,8/8/1983,1815,,,1347,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 3 ROW: 6 CHIP:40 BIT: 1 SET: 0,,
5,9/8/1993,TDRS-1,8/8/1983,1815,,,1347,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL:10 ROW:13 CHIP:40 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,8/8/1983,1815,,,1347,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL:11 ROW: 3 CHIP:32 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,8/8/1983,1815,,,1347,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL:12 ROW: 4 CHIP:32 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,8/8/1983,1815,,,1347,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL:12 ROW: 6 CHIP:40 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,8/8/1983,1815,,,1347,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL:14 ROW: 8 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,8/14/1983,2018,,,1550,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 7 ROW: 5 CHIP:32 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,8/19/1983,1927,,,1459,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 4 ROW:12 CHIP:32 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,8/21/1983,0230,,,2202,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 0 ROW: 2 CHIP:32 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,8/22/1983,0510,,,0042,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 3 ROW:10 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,8/23/1983,1423,,,0955,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 5 ROW: 3 CHIP:32 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,8/26/1983,0206,,,2138,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 4 ROW:12 CHIP:32 BIT: 2 SET: 0,,
5,9/8/1993,TDRS-1,8/28/1983,0403,,,2335,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 7 ROW: 9 CHIP:40 BIT: 0 SET: 0,,
5,9/8/1993,TDRS-1,8/29/1983,0031,,,2003,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL: 9 ROW: 9 CHIP:32 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,8/29/1983,0031,,,2003,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL:10 ROW:11 CHIP:32 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,8/29/1983,0031,,,2003,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL:11 ROW:11 CHIP:32 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,8/29/1983,0031,,,2003,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL:11 ROW: 2 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,8/29/1983,0031,,,2003,G,,0,,W,67,,35784,SE,SEU,ACS PAGE:2 COL:12 ROW: 8 CHIP:32 BIT: 3 SET: 1,,
